user_id,char,key_code,hold_time,latency_time,flight_time,key_down_time,key_up_time,event_index,session_id,wpm
harshith,u,117,0.0603,0.18934,0.13437,332405.6032,332405.6635,4,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,i,105,0.0597,0.19873,0.13843,332405.802,332405.8617,5,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,c,99,0.06954,0.214,0.1543,332406.016,332406.0855,6,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,k,107,0.06949,0.17418,0.10464,332406.1901,332406.2596,7,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,b,98,0.06458,0.4337,0.36421,332406.6238,332406.6884,8,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,r,114,0.05473,0.24289,0.17831,332406.8667,332406.9215,9,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,o,111,0.06457,0.22887,0.17414,332407.0956,332407.1602,10,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,w,119,0.06454,0.20411,0.13954,332407.2997,332407.3642,11,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,n,110,0.06454,0.18411,0.11957,332407.4838,332407.5483,12,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,f,102,0.05984,0.39803,0.33349,332407.8818,332407.9417,13,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,o,111,0.05973,0.18409,0.12425,332408.0659,332408.1257,14,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,x,120,0.06984,0.27363,0.2139,332408.3396,332408.4094,15,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,j,106,0.06935,0.43812,0.36828,332408.7777,332408.847,16,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,u,117,0.05963,0.19868,0.12933,332408.9764,332409.036,17,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,m,109,0.08451,0.23384,0.1742,332409.2102,332409.2947,18,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,p,112,0.06964,0.2588,0.17429,332409.469,332409.5386,19,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,s,115,0.06858,0.22487,0.15523,332409.6939,332409.7624,20,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,o,111,0.06439,0.38735,0.31877,332410.0812,332410.1456,21,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,v,118,0.06449,0.27355,0.20916,332410.3548,332410.4192,22,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,e,101,0.07451,0.16407,0.09958,332410.5188,332410.5933,23,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,r,114,0.05972,0.22396,0.14945,332410.7428,332410.8025,24,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,t,116,0.06465,0.41297,0.35325,332411.1558,332411.2204,25,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,h,104,0.0697,0.20396,0.13932,332411.3597,332411.4294,26,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,e,101,0.05983,0.14426,0.07456,332411.504,332411.5638,27,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,l,108,0.0595,0.3833,0.32347,332411.8873,332411.9468,28,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,a,97,0.0646,0.12922,0.06972,332412.0165,332412.0811,29,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,z,122,0.06964,0.2438,0.1792,332412.2603,332412.3299,30,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,y,121,0.05458,0.19914,0.1295,332412.4594,332412.514,31,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,d,100,0.06967,0.42797,0.37339,332412.8874,332412.9571,32,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,o,111,0.06417,0.14954,0.07987,332413.0369,332413.1011,33,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,g,103,0.0547,0.40259,0.33842,332413.4395,332413.4942,34,b6c3867f-ec00-4e4c-b5fc-a651862e250b,57.71
harshith,t,116,0.0655,0,0,332426.4611,332426.5267,0,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,h,104,0.06458,0.24371,0.17821,332426.7049,332426.7694,1,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,e,101,0.05954,0.15925,0.09468,332426.8641,332426.9236,2,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,q,113,0.05944,0.4835,0.42396,332427.3476,332427.407,3,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,u,117,0.05431,0.20461,0.14517,332427.5522,332427.6065,4,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
